year,muni_code,muni,financial_strength_index_2016,rev_to_exp_ratio_2016,exp_public_works_thous_2016
2016,02202,Aomori-ken Hirosaki-shi,0.48,1.60,"9,990,017.00"
2016,02203,Aomori-ken Hachinohe-shi,0.66,5.10,"13,773,997.00"
2016,02204,Aomori-ken Kuroishi-shi,0.34,2.90,"1,410,881.00"
2016,02205,Aomori-ken Goshogawara-shi,0.33,4.40,"2,558,225.00"
2016,02206,Aomori-ken Towada-shi,0.41,8.20,"2,420,281.00"
2016,02207,Aomori-ken Misawa-shi,0.48,3.40,"3,530,197.00"
2016,02208,Aomori-ken Mutsu-shi,0.38,1.70,"2,435,156.00"
2016,02209,Aomori-ken Tsugaru-shi,0.23,4.10,"2,237,666.00"
2016,02210,Aomori-ken Hirakawa-shi,0.28,4.50,"1,581,616.00"
2016,02301,Aomori-ken Hiranai-machi,0.22,2.70,"635,632.00"
2016,02303,Aomori-ken Imabetsu-machi,0.15,10.20,"375,608.00"
2016,02304,Aomori-ken Yomogita-mura,0.16,2.70,"321,859.00"
2016,02307,Aomori-ken Sotogahama-machi,0.16,4.00,"602,918.00"
2016,02321,Aomori-ken Ajigasawa-machi,0.20,2.00,"625,318.00"
2016,02323,Aomori-ken Fukaura-machi,0.16,4.30,"498,970.00"
2016,02343,Aomori-ken Nishimeya-mura,0.10,5.60,"199,907.00"
2016,02361,Aomori-ken Fujisaki-machi,0.27,3.70,"775,390.00"
2016,02362,Aomori-ken Owani-machi,0.21,5.30,"606,638.00"
2016,02367,Aomori-ken Inakadate-mura,0.27,18.40,"288,357.00"
2016,02381,Aomori-ken Itayanagi-machi,0.27,6.10,"312,720.00"
2016,02384,Aomori-ken Tsuruta-machi,0.25,4.70,"511,397.00"
2016,02387,Aomori-ken Nakadomari-machi,0.20,3.30,"594,911.00"
2016,02401,Aomori-ken Noheji-machi,0.38,1.20,"354,134.00"
2016,02402,Aomori-ken Shichinohe-machi,0.33,2.20,"1,047,798.00"
2016,02405,Aomori-ken Rokunohe-machi,0.35,4.70,"585,313.00"
2016,02406,Aomori-ken Yokohama-machi,0.23,4.60,"238,081.00"
2016,02408,Aomori-ken Tohoku-machi,0.28,2.70,"1,664,554.00"
2016,02411,Aomori-ken Rokkasho-mura,1.65,2.30,"2,353,905.00"
2016,02412,Aomori-ken Oirase-cho,0.45,2.30,"1,422,884.00"
2016,02423,Aomori-ken Oma-machi,0.25,4.70,"308,046.00"
2016,02424,Aomori-ken Higashidori-mura,0.86,2.70,"364,515.00"
2016,02425,Aomori-ken Kazamaura-mura,0.10,6.10,"123,609.00"
2016,02426,Aomori-ken Sai-mura,0.11,3.70,"182,027.00"
2016,02441,Aomori-ken Sannohe-machi,0.24,5.60,"405,215.00"
2016,02442,Aomori-ken Gonohe-machi,0.28,3.20,"1,032,581.00"
2016,02443,Aomori-ken Takko-machi,0.19,5.50,"311,553.00"
2016,02445,Aomori-ken Nambu-cho,0.27,4.70,"697,467.00"
2016,02446,Aomori-ken Hashikami-cho,0.34,7.80,"795,824.00"
2016,02450,Aomori-ken Shingo-mura,0.12,9.20,"304,783.00"
2016,03201,Iwate-ken Morioka-shi,0.73,2.00,"15,055,979.00"
2016,03202,Iwate-ken Miyako-shi,0.36,13.70,"11,263,515.00"
2016,03203,Iwate-ken Ofunato-shi,0.46,23.10,"15,788,494.00"
2016,03205,Iwate-ken Hanamaki-shi,0.45,6.10,"5,481,908.00"
2016,03206,Iwate-ken Kitakami-shi,0.67,1.40,"4,046,863.00"
2016,03207,Iwate-ken Kuji-shi,0.41,19.50,"2,412,691.00"
2016,03208,Iwate-ken Tono-shi,0.28,3.90,"1,517,292.00"
2016,03209,Iwate-ken Ichinoseki-shi,0.38,5.80,"6,061,305.00"
2016,03210,Iwate-ken Rikuzentakata-shi,0.29,40.90,"25,664,570.00"
2016,03211,Iwate-ken Kamaishi-shi,0.50,55.70,"32,755,136.00"
2016,03213,Iwate-ken Ninohe-shi,0.36,5.80,"1,754,078.00"
