muni_code,muni,muni_en
02206,十和田市,Aomori-ken Towada-shi
02207,三沢市,Aomori-ken Misawa-shi
02208,むつ市,Aomori-ken Mutsu-shi
02209,つがる市,Aomori-ken Tsugaru-shi
02210,平川市,Aomori-ken Hirakawa-shi
02301,平内町,Aomori-ken Hiranai-machi
02303,今別町,Aomori-ken Imabetsu-machi
02304,蓬田村,Aomori-ken Yomogita-mura
02307,外ヶ浜町,Aomori-ken Sotogahama-machi
02321,鰺ヶ沢町,Aomori-ken Ajigasawa-machi
02323,深浦町,Aomori-ken Fukaura-machi
02343,西目屋村,Aomori-ken Nishimeya-mura
02361,藤崎町,Aomori-ken Fujisaki-machi
02362,大鰐町,Aomori-ken Owani-machi
02367,田舎館村,Aomori-ken Inakadate-mura
02381,板柳町,Aomori-ken Itayanagi-machi
02384,鶴田町,Aomori-ken Tsuruta-machi
02387,中泊町,Aomori-ken Nakadomari-machi
02401,野辺地町,Aomori-ken Noheji-machi
02402,七戸町,Aomori-ken Shichinohe-machi
02405,六戸町,Aomori-ken Rokunohe-machi
02406,横浜町,Aomori-ken Yokohama-machi
02408,東北町,Aomori-ken Tohoku-machi
02411,六ヶ所村,Aomori-ken Rokkasho-mura
02412,おいらせ町,Aomori-ken Oirase-cho
02423,大間町,Aomori-ken Oma-machi
02424,東通村,Aomori-ken Higashidori-mura
02425,風間浦村,Aomori-ken Kazamaura-mura
02426,佐井村,Aomori-ken Sai-mura
02441,三戸町,Aomori-ken Sannohe-machi
02442,五戸町,Aomori-ken Gonohe-machi
02443,田子町,Aomori-ken Takko-machi
02445,南部町,Aomori-ken Nambu-cho
02446,階上町,Aomori-ken Hashikami-cho
02450,新郷村,Aomori-ken Shingo-mura
03201,盛岡市,Iwate-ken Morioka-shi
03202,宮古市,Iwate-ken Miyako-shi
03203,大船渡市,Iwate-ken Ofunato-shi
03205,花巻市,Iwate-ken Hanamaki-shi
03206,北上市,Iwate-ken Kitakami-shi
03207,久慈市,Iwate-ken Kuji-shi
03208,遠野市,Iwate-ken Tono-shi
03209,一関市,Iwate-ken Ichinoseki-shi
03210,陸前高田市,Iwate-ken Rikuzentakata-shi
03211,釜石市,Iwate-ken Kamaishi-shi
03213,二戸市,Iwate-ken Ninohe-shi
03214,八幡平市,Iwate-ken Hachimantai-shi
03215,奥州市,Iwate-ken Oshu-shi
03216,滝沢市,Iwate-ken Takizawashi
03301,雫石町,Iwate-ken Shizukuishi-cho
03302,葛巻町,Iwate-ken Kuzumaki-machi
03303,岩手町,Iwate-ken Iwate-machi
03321,紫波町,Iwate-ken Shiwa-cho
03322,矢巾町,Iwate-ken Yahaba-cho
03366,西和賀町,Iwate-ken Nishiwaga-machi
03381,金ケ崎町,Iwate-ken Kanegasaki-cho
03402,平泉町,Iwate-ken Hiraizumi-cho
03441,住田町,Iwate-ken Sumita-cho
03461,大槌町,Iwate-ken Otsuchi-cho
03482,山田町,Iwate-ken Yamada-machi
03483,岩泉町,Iwate-ken Iwaizumi-cho
03484,田野畑村,Iwate-ken Tanohata-mura
03485,普代村,Iwate-ken Fudai-mura
03501,軽米町,Iwate-ken Karumai-machi
03503,野田村,Iwate-ken Noda-mura
03506,九戸村,Iwate-ken Kunohe-mura
03507,洋野町,Iwate-ken Hirono-cho
03524,一戸町,Iwate-ken Ichinohe-machi
04100,仙台市,Miyagi-ken Sendai-shi
04202,石巻市,Miyagi-ken Ishinomaki-shi
04203,塩竈市,Miyagi-ken Shiogama-shi
04205,気仙沼市,Miyagi-ken Kesennuma-shi
04206,白石市,Miyagi-ken Shiroishi-shi
04207,名取市,Miyagi-ken Natori-shi
04208,角田市,Miyagi-ken Kakuda-shi
04209,多賀城市,Miyagi-ken Tagajo-shi
04211,岩沼市,Miyagi-ken Iwanuma-shi
04212,登米市,Miyagi-ken Tome-shi
04213,栗原市,Miyagi-ken Kurihara-shi
04214,東松島市,Miyagi-ken Higashimatsushima-shi
04215,大崎市,Miyagi-ken Osaki-shi
04301,蔵王町,Miyagi-ken Zao-machi
04302,七ヶ宿町,Miyagi-ken Shichikashuku-machi
04321,大河原町,Miyagi-ken Ogawara-machi
04322,村田町,Miyagi-ken Murata-machi
04323,柴田町,Miyagi-ken Shibata-machi
04324,川崎町,Miyagi-ken Kawasaki-machi
04341,丸森町,Miyagi-ken Marumori-machi
04361,亘理町,Miyagi-ken Watari-cho
04362,山元町,Miyagi-ken Yamamoto-cho
04401,松島町,Miyagi-ken Matsushima-machi
04404,七ヶ浜町,Miyagi-ken Shichigahama-machi
04406,利府町,Miyagi-ken Rifu-cho
04421,大和町,Miyagi-ken Taiwa-cho
04422,大郷町,Miyagi-ken Osato-cho
04423,富谷町,#N/A
04424,大衡村,Miyagi-ken Ohira-mura
04444,色麻町,Miyagi-ken Shikama-cho
04445,加美町,Miyagi-ken Kami-machi
04501,涌谷町,Miyagi-ken Wakuya-cho
04505,美里町,Miyagi-ken Misato-machi
04581,女川町,Miyagi-ken Onagawa-cho
04606,南三陸町,Miyagi-ken Minamisanriku-cho
05201,秋田市,Akita-ken Akita-shi
05202,能代市,Akita-ken Noshiro-shi
05203,横手市,Akita-ken Yokote-shi
05204,大館市,Akita-ken Odate-shi
05206,男鹿市,Akita-ken Oga-shi
05207,湯沢市,Akita-ken Yuzawa-shi
05209,鹿角市,Akita-ken Kazuno-shi
05210,由利本荘市,Akita-ken Yurihonjo-shi
05211,潟上市,Akita-ken Katagami-shi
05212,大仙市,Akita-ken Daisen-shi
05213,北秋田市,Akita-ken Kitaakita-shi
05214,にかほ市,Akita-ken Nikaho-shi
05215,仙北市,Akita-ken Semboku-shi
05303,小坂町,Akita-ken Kosaka-machi
05327,上小阿仁村,Akita-ken Kamikoani-mura
05346,藤里町,Akita-ken Fujisato-machi
05348,三種町,Akita-ken Mitane-cho
05349,八峰町,Akita-ken Happou-cho
05361,五城目町,Akita-ken Gojome-machi
05363,八郎潟町,Akita-ken Hachirogata-machi
05366,井川町,Akita-ken Ikawa-machi
05368,大潟村,Akita-ken Ogata-mura
05434,美郷町,Akita-ken Misato-cho
05463,羽後町,Akita-ken Ugo-machi
05464,東成瀬村,Akita-ken Higashinaruse-mura
06201,山形市,Yamagata-ken Yamagata-shi
06202,米沢市,Yamagata-ken Yonezawa-shi
06203,鶴岡市,Yamagata-ken Tsuruoka-shi
06204,酒田市,Yamagata-ken Sakata-shi
06205,新庄市,Yamagata-ken Shinjo-shi
06206,寒河江市,Yamagata-ken Sagae-shi
06207,上山市,Yamagata-ken Kaminoyama-shi
06208,村山市,Yamagata-ken Murayama-shi
06209,長井市,Yamagata-ken Nagai-shi
06210,天童市,Yamagata-ken Tendo-shi
06211,東根市,Yamagata-ken Higashine-shi
06212,尾花沢市,Yamagata-ken Obanazawa-shi
06213,南陽市,Yamagata-ken Nanyo-shi
06301,山辺町,Yamagata-ken Yamanobe-machi
06302,中山町,Yamagata-ken Nakayama-machi
06321,河北町,Yamagata-ken Kahoku-cho
06322,西川町,Yamagata-ken Nishikawa-machi
06323,朝日町,Yamagata-ken Asahi-machi
06324,大江町,Yamagata-ken Oe-machi
06341,大石田町,Yamagata-ken Oishida-machi
06361,金山町,Yamagata-ken Kaneyama-machi
06362,最上町,Yamagata-ken Mogami-machi
06363,舟形町,Yamagata-ken Funagata-machi
06364,真室川町,Yamagata-ken Mamurogawa-machi
06365,大蔵村,Yamagata-ken Okura-mura
06366,鮭川村,Yamagata-ken Sakegawa-mura
06367,戸沢村,Yamagata-ken Tozawa-mura
06381,高畠町,Yamagata-ken Takahata-machi
06382,川西町,Yamagata-ken Kawanishi-machi
06401,小国町,Yamagata-ken Oguni-machi
06402,白鷹町,Yamagata-ken Shirataka-machi
06403,飯豊町,Yamagata-ken Iide-machi
06426,三川町,Yamagata-ken Mikawa-machi
06428,庄内町,Yamagata-ken Shonai-machi
06461,遊佐町,Yamagata-ken Yuza-machi
07201,福島市,Fukushima-ken Fukushima-shi
07202,会津若松市,Fukushima-ken Aizuwakamatsu-shi
07203,郡山市,Fukushima-ken Koriyama-shi
07204,いわき市,Fukushima-ken Iwaki-shi
07205,白河市,Fukushima-ken Shirakawa-shi
07207,須賀川市,Fukushima-ken Sukagawa-shi
07208,喜多方市,Fukushima-ken Kitakata-shi
07209,相馬市,Fukushima-ken Soma-shi
07210,二本松市,Fukushima-ken Nihonmatsu-shi
